asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B00VHVNXN2,E-TING 4pcs Hand Tool Toggle Clamp Red Plast Horizontal Quick Release Tool (201B),https://m.media-amazon.com/images/I/51m3lnaFtgL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00VHVNXN2,4.3,1372,16.99,18.99,Industrial  Scientific,True,50,Hardware & Tools,2.0,10.531858873091101
B00VEA2904,"DEWALT 20V MAX* Portable Band Saw, Deep Cut, Tool Only (DCS374B)",https://m.media-amazon.com/images/I/71Gp5A9PnpL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00VEA2904,4.8,1336,399.0,519.0,Industrial  Scientific,True,50,Hardware & Tools,120.0,23.121387283236995
B0B7W54V3V,"Periodic Table with Real Elements Inside, Acrylic Periodic Table with Flannel Bag, 3D Periodic Table of Elements, Chemistry Gifts for Kids Adults Teacher(6"" x 4.5"")",https://m.media-amazon.com/images/I/71fnnB7EZmL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0B7W54V3V,4.5,116,39.88,59.99,Industrial  Scientific,True,50,Hardware & Tools,20.11,33.52225370895149
B0089FMXN0,Neoprene Rubber Black Self-Adhesive Sponge Strip 25mm Wide x 3mm Thick x 10m Long,https://m.media-amazon.com/images/I/61TgKSfDLJL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0089FMXN0,4.2,176,12.88,13.88,Industrial  Scientific,True,0,Hardware & Tools,1.0,7.204610951008645
B01MRYMRF7,"meite 22G71S38 22 Gauge 71 Series 3/8"" Crown Wide 3/8"" Leg Length Galvanized Staples for Upholstery Stapler 10,020 PCS/Box (1 Box)",https://m.media-amazon.com/images/I/71bJTiaqXwL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01MRYMRF7,4.6,226,19.99,21.99,Industrial  Scientific,True,50,Hardware & Tools,2.0,9.095043201455207
B00YG2IAQ4,"Renogy 30A MC4 Waterproof in-Line Fuse Holder w/Fuse, Black",https://m.media-amazon.com/images/I/61eNgsst3AL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00YG2IAQ4,4.6,5340,19.99,22.99,Industrial  Scientific,True,50,Hardware & Tools,3.0,13.049151805132666
B01BUSM7YW,"LINE10 Tools 16 Pack Sanding Drum and Sleeves Set for Drill, 2-inch Long, 60, 80 and 120 Grit",https://m.media-amazon.com/images/I/61nX+AK6dAL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01BUSM7YW,4.3,1344,11.0,29.99,Industrial  Scientific,True,50,Hardware & Tools,18.99,63.32110703567856
B085T4RP4C,"5 Piece NPT Thread Forming Taps, Pipe Taps Set, High-Speed Steel Drill Bits for Cleaning or Re-Thread Damaged or Jam Pipe Threads, Size 1/8"", 1/4"", 3/8"", 1/2"", 3/4""",https://m.media-amazon.com/images/I/710UWxhMpOL._AC_UL320_.jpg,https://www.amazon.ca/dp/B085T4RP4C,4.4,348,30.99,34.6,Industrial  Scientific,True,50,Hardware & Tools,3.610000000000003,10.433526011560701
B0BB2744MV,"50Pcs Aluminum Welding Rods, Flux Core Welding Wire No Flux Required, Low Temperature Aluminum Brazing Rods for Welding Alloy, Stainless, Galvanized Steel, Copper (1.6mmX33cm)",https://m.media-amazon.com/images/I/6167fT2vjyL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BB2744MV,3.1,15,14.99,16.99,Industrial  Scientific,True,50,Hardware & Tools,1.9999999999999982,11.771630370806347
B008BV7NN2,"WD-40 Multi-Use Product 155g Can - Drives Out Moisture, inhibits Rust, lubricates, removes Grease and Stickiness | 1005 | Single Can",https://m.media-amazon.com/images/I/812FMoXbZ9L._AC_UL320_.jpg,https://www.amazon.ca/dp/B008BV7NN2,4.7,215,5.98,6.99,Motorcycle Accessories  Parts,True,900,Automotive,1.0099999999999998,14.44921316165951
