asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B00CMM6L9S,Crayola 10 59ml Paint Jars Assorted Classic Colours Arts & Crafts,https://m.media-amazon.com/images/I/71cgC-s1jZL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00CMM6L9S,4.7,6721,6.97,8.98,Arts  Crafts Supplies,True,3000,Arts & Crafts,2.0100000000000007,22.383073496659247
B07JLB6Y4Z,"MUDO NEST Loom Bracelet Kit, 11,860+ Rubber Bands Refill Loom Set, 28 Colors Loom Bracelet Making Kits with 500 Clips, 210+ Beads, 32 Charms all-in an Organizer Case Great DIY Gift for Kids Girls Boys",https://m.media-amazon.com/images/I/81qxG-rq3kL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07JLB6Y4Z,4.7,8686,26.99,36.99,Arts  Crafts Supplies,True,2000,Arts & Crafts,10.000000000000004,27.03433360367668
B00S6UZUSS,"Melissa & Doug Decorate-Your-Own Wooden Princess Wand Craft Kit , Pink | Princess Crafts Great For Rainy Days, Princess Toys For Kids Ages 4+",https://m.media-amazon.com/images/I/818zgSkOn9L._AC_UL320_.jpg,https://www.amazon.ca/dp/B00S6UZUSS,4.7,7743,14.31,17.61,Arts  Crafts Supplies,True,1000,Arts & Crafts,3.299999999999999,18.73935264054514
B09BFYNKTX,"Kinetic Sand, Slice N’ Surprise Set with 13.5oz of Black, Pink and Blue Play Sand and 7 Tools, Sensory Toys for Kids Ages 3 and up",https://m.media-amazon.com/images/I/91CwHNb2vjL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09BFYNKTX,4.4,1446,10.37,19.99,Arts  Crafts Supplies,True,1000,Arts & Crafts,9.62,48.124062031015505
B00RF7A1TG,"Sago Brothers Air Dry Clay 24 Colors, Kids Toys Modeling Clay for Kids, 3 Year Old Girl Gifts No-Bake No Mess Molding Clay Kit, Model Magic Clay Christmas Birthday Gifts for Kids Girls Boys Age 3-12",https://m.media-amazon.com/images/I/81so+MowqhS._AC_UL320_.jpg,https://www.amazon.ca/dp/B00RF7A1TG,4.6,6657,27.99,29.99,Arts  Crafts Supplies,True,800,Arts & Crafts,2.0,6.668889629876626
B07QR4Q42L,"AstroAI Air Compressor Tire Inflator Portable Air Pump for Car Tires 12V DC Auto Tire Pump with Digital Pressure Gauge, 100PSI with Emergency LED Light for Car, Bicycle, Balloons and Other Inflatables",https://m.media-amazon.com/images/I/71eHittCtZL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07QR4Q42L,4.4,71183,41.99,59.99,Automotive Tires  Wheels,True,2000,Automotive,18.0,30.005000833472245
B07Z3HB7DR,"MOTOPOWER MP69033 Car OBD2 Scanner Code Reader Engine Fault Code Reader Scanner CAN Diagnostic Scan Tool for All OBD II Protocol Cars Since 1996, Yellow",https://m.media-amazon.com/images/I/61dw6Azq+NL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07Z3HB7DR,4.4,28722,35.99,39.99,Automotive Tools  Equipment,True,2000,Automotive,4.0,10.002500625156289
B007GE75HY,"MEGA BLOKS Fisher-Price Toddler Block Toys, Big Building Bag with 80 Pieces and Storage, Blue, Gift Ideas for Kids Age 1+ Years",https://m.media-amazon.com/images/I/81K6u2k4qKL._AC_UL320_.jpg,https://www.amazon.ca/dp/B007GE75HY,4.8,114933,16.97,19.99,Building  Construction Toys,True,2000,Automotive,3.0199999999999996,15.107553776888443
B07N6H7VH9,"LAUNCH OBD2 Scanner CR319 Code Reader, Automotive Engine Light Check /O2 Sensor/EVAP Test with DTC Lookup, CAN Diagnostic Scan Tool with Full OBD II Functions for DIYers, Black",https://m.media-amazon.com/images/I/71yxSqVbOlL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07N6H7VH9,4.4,4663,35.99,45.99,Automotive Tools  Equipment,True,1000,Automotive,10.0,21.743857360295717
B01ISAMUA6,"AstroAI Multimeter 2000 Counts Digital Multimeter with DC AC Voltmeter and Ohm Volt Amp Tester ; Measures Voltage, Current, Resistance; Tests Live Wire, Continuity",https://m.media-amazon.com/images/I/71OOuoWXvFL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01ISAMUA6,4.5,38075,22.99,29.99,Automotive Tools  Equipment,True,1000,Automotive,7.0,23.34111370456819
